"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100"
"same:stem",-1.11340758406141,NA,-0.777727110341419,-0.840535459731717,-1.024282917603,-0.586569216667793,-0.986626582144738,-0.66822243347718,NA,-1.23744502513876,-0.819363661961564,-0.725189252183463,-0.965487866389034,-1.00622236377475,-0.997873323584497,-0.787736684418592,-1.03225655794952,-0.739747399011899,-0.86720596612733,-0.734915275207152,NA,-1.00918288954238,-0.938280710449575,-1.10419517459399,-0.768278488085335,-0.758860596179925,-1.25460482577953,-0.556459575213614,-0.94406208634784,-1.29047088299347,-0.873871910389292,-0.38576155466123,-0.814254945294808,-0.997873323584497,-0.501104266966246,-1.15448408039249,-1.04234609261889,NA,-1.288359858299,-1.09438417932379,-0.739747399011899,-0.768278488085335,-0.809100282546386,-0.547354430315058,-0.844996347916481,-1.24388286335316,-1.01307516136602,-0.824915637407897,-1.01307516136602,NA,-1.22964962483093,-1.13290425463717,-1.27734934180814,-0.700592367604772,-0.86720596612733,-1.17068528830508,-0.915796208427914,-0.0740870158819111,-0.542834287264698,-1.25760853515965,-0.768278488085335,-1.20368865243227,-1.18957453868388,-0.910069071445755,-0.829983935730181,-1.136366371799,-1.0630357343795,-0.715389958448099,-0.844996347916481,-0.878791433405739,-0.969879092946372,-1.04158805815684,-1.03128196883902,NA,NA,-0.72029765561,-0.878791433405739,-0.498522571920328,-1.18957453868388,-0.849342752193467,-0.888366788825888,-0.0458104145021684,-0.986626582144738,-0.758860596179925,-0.533929363012915,-0.467097186742732,-1.0384349871748,-0.286293060640999,-0.591591102449312,NA,NA,-0.915796208427914,-0.87291411732913,-1.04953620079286,-0.494065385359063,-0.718937481993018,-1.26468936658297,-1.07514054306996,NA,-0.326258021494296
"age",-0.0925009270199945,NA,-0.0761398510957831,-0.0789511414410636,-0.0722855706401181,-0.0515633265826889,-0.0754705287772457,-0.0688192926302437,NA,-0.0611971513635009,-0.0780364815377391,-0.0738445890084605,-0.0775954782714853,-0.0736603655507728,-0.0744806094648376,-0.0766406374616782,-0.101163506363395,-0.0744621528844852,-0.0829153979515896,-0.0742574411869363,NA,-0.0735745925242205,-0.0791997542669868,-0.0699386080215658,-0.0756696935535261,-0.075270973228231,-0.0641525077194969,-0.0446733694922039,-0.0788418425686939,-0.0575641635147631,-0.118944297835255,-0.000746802971140756,-0.0778092415526432,-0.0744806094648376,-0.122781305370512,-0.0745183336886684,-0.0723937149967946,NA,-0.0575645388796028,-0.0706692918033614,-0.0744621528844852,-0.0756696935535261,-0.0775978481444449,-0.0421431159096053,-0.0791524658234428,-0.0605771878499251,-0.0733181201734127,-0.0782825897848234,-0.0733181201734127,NA,-0.0619999548370472,-0.067835986279572,-0.0583852932772327,-0.0727790742658901,-0.0829153979515896,-0.0650595477473749,-0.0803083636121912,NA,-0.0408152645823908,-0.0636839277565046,-0.0756696935535261,-0.0629464581573635,-0.0636494172788333,-0.0806185124204856,-0.0784871515938922,-0.0805040194858515,-0.0725840988339904,-0.0734260539764616,-0.0791524658234428,-0.0825728254992556,-0.0771884779588098,-0.100875173202922,-0.0718718993345533,NA,NA,-0.0736361622802005,-0.0825728254992556,-0.122493939964796,-0.0636494172788333,-0.0794791323270441,-0.115352733354454,NA,-0.0754705287772457,-0.075270973228231,-0.0381235286488224,-0.0271294956936931,-0.100977961341075,NA,-0.0526084361167838,NA,NA,-0.0803083636121912,-0.0835395505032191,-0.0726684087327474,-0.0312321956883766,-0.144049522816751,-0.0625238604625723,-0.0994163427528088,NA,NA
"MeanPMTD:VarSpdRto",13.4724142528463,NA,7.59167923904249,9.8536906004903,17.8161879567527,5.28884861947495,16.3945756808774,5.39690951660313,NA,21.8079261375971,9.01044065609886,6.20546369880795,16.8720135763811,17.1541587314952,16.6532045376821,7.85154828000396,9.5817300488166,6.60749157118824,12.8733055214882,6.47366442943156,NA,17.3250295479956,16.2539910835137,19.7089107186588,7.40010546029903,7.13813627871323,19.5733995888174,5.91663036055545,16.4414034812281,23.0323506451408,10.460396528101,1.37626125840203,8.83286890365657,16.6532045376821,NA,17.3832793557732,18.3179870910198,NA,22.9237358054562,19.5606153436011,6.60749157118824,7.40010546029903,8.65019947990631,6.46859497558224,10.041039853889,21.9809426737922,17.4747342287526,9.24815829663127,17.4747342287526,NA,21.6118673057108,20.1371908765404,22.6921159936589,5.56265970841926,12.8733055214882,20.6975274946528,15.6170723877359,NA,6.76920412792939,19.8381239460853,7.40010546029903,21.1600188705637,20.9755329848299,15.4520714167289,9.43660993719087,16.1407561373977,19.1052767619134,5.9389333294294,10.041039853889,14.600329408942,16.7591743995268,10.0361801853636,17.9640991372851,NA,NA,6.07170450196872,14.600329408942,NA,20.9755329848299,10.3778898541158,10.0061982666452,NA,16.3945756808774,7.13813627871323,7.38233917680569,4.74482732192163,9.88233365128537,NA,5.3020710038924,NA,NA,15.6170723877359,13.8813139681015,18.5966638544044,6.01733478606273,NA,20.4608200737396,11.6235046216465,NA,NA
"height:height",0.000864214583687811,NA,0.000465098455317717,0.000569402984884924,0.00066266179211587,4.3770646870565e-05,0.000677476519849791,0.000227494520392093,NA,0.000776961520526891,0.000535264721671754,0.000352736759873278,0.000671560036225212,0.000674170776078104,0.000676180508143747,0.000482791399830264,0.000822158508785986,0.000384572579745927,0.000630449318996906,0.000374007753759848,NA,0.000672168861202878,0.000664348306100817,0.000690769755970844,0.000446922125120255,0.000426354159171183,0.000851623039934524,NA,0.000665755778361353,0.000820391309633261,0.000740045804823454,NA,0.000526587683373509,0.000676180508143747,0.000720351168479095,0.000848996757741295,0.000656724840780307,NA,0.000814577334935185,0.000683566879075582,0.000384572579745927,0.000446922125120255,0.000517684105879788,NA,0.000577980849959621,0.000780752165340781,0.00066975436846338,0.000543758606307954,0.00066975436846338,NA,0.000772778027431639,0.000711664547284843,0.000804913083854838,0.000298774037272338,0.000630449318996906,0.000739258472543526,0.000658276994209154,NA,NA,0.000850676298134264,0.000446922125120255,0.000763234246279023,0.000753561357394667,0.000656783327367275,0.000552453703936626,0.000852796995277195,0.000660807262643748,0.000331285623909039,0.000577980849959621,0.000643030572638088,0.000672942391991242,0.000829202294674818,0.000659747074885735,NA,NA,0.000342032658052027,0.000643030572638088,0.000720234815994941,0.000753561357394667,0.000586927667919156,0.000740428421066555,NA,0.000677476519849791,0.000426354159171183,NA,NA,0.000826851597887024,NA,5.4994198858305e-05,NA,NA,0.000658276994209154,0.000635905911833522,0.000656417681061744,NA,0.000715198760253397,0.000848111877475681,0.000851995391605825,NA,NA
"MaxMaxSpd:MaxNumSpdPks",-0.0199065989713717,NA,-0.0764449505252295,-0.0818551980536153,-0.158622669028801,-0.0383025645532358,-0.145394178725538,-0.0660349426904664,NA,-0.16037700922916,-0.080133787668662,-0.0738205927661725,-0.13467651052406,-0.151230454599089,-0.149342059559667,-0.0774634566556966,NA,-0.0744015367519755,-0.0884924203516495,-0.0742095994984875,NA,-0.152291958775604,-0.125349998900206,-0.164627573535579,-0.0755301015977992,-0.0751577462065293,-0.155053534615706,-0.0238252350733395,-0.127208224680356,-0.161690811623005,NA,NA,-0.0797019173844564,-0.149342059559667,NA,-0.110547373265902,-0.161304233434659,NA,-0.162559864358941,-0.164825158893106,-0.0744015367519755,-0.0755301015977992,-0.0793131972640908,-0.016804883653553,-0.0822274014814884,-0.160469860920336,-0.153746683294078,-0.0805997296167693,-0.153746683294078,NA,-0.160508852670723,-0.164000933063245,-0.162314989927366,-0.0727626096868738,-0.0884924203516495,-0.16320495070619,-0.118176930824959,NA,-0.0131548042202492,-0.155442362997025,-0.0755301015977992,-0.162576012133825,-0.162958516380349,-0.116318706382966,-0.0809787494881337,-0.0812705346578903,-0.163958958498206,-0.073420165257713,-0.0822274014814884,-0.10207096327504,-0.136898464480259,NA,-0.161004087843667,NA,NA,-0.0736223482012208,-0.10207096327504,NA,-0.162958516380349,-0.0825485858530172,NA,NA,-0.145394178725538,-0.0751577462065293,-0.00579925214976784,NA,NA,NA,-0.0399780339039882,NA,NA,-0.118176930824959,-0.093053017854196,-0.161898340023323,NA,NA,-0.156311299500355,NA,NA,NA
"affected:same",-0.524103433550611,NA,NA,NA,-0.174013159525991,NA,-0.15644547333119,NA,NA,-0.0530423913482995,NA,NA,-0.132651079221693,-0.172981373046757,-0.166413456501042,NA,-0.666475436000874,NA,-0.0541908786976906,NA,NA,-0.172775691047085,-0.126784351898789,-0.126630097640348,NA,NA,-0.110111610826308,NA,-0.127863404635175,-0.023994233252748,-0.797670722767909,NA,NA,-0.166413456501042,-1.08474216337019,-0.318563470698746,-0.162742171158429,NA,-0.0217672309233285,-0.131519776653622,NA,NA,NA,NA,-0.00141308254559536,-0.0488845701644567,-0.172516997815208,NA,-0.172516997815208,NA,-0.0587115482995681,-0.112293052006931,-0.0276872539803807,NA,-0.0541908786976906,-0.0934780803599645,-0.123020783093433,NA,NA,-0.104372686948221,NA,-0.0779516373840608,-0.0845622408771268,-0.122039637130272,NA,-0.390439383088403,-0.146532031707929,NA,-0.00141308254559536,-0.0926961664342965,-0.135661239644595,-0.655187813367793,-0.173810748709743,NA,NA,NA,-0.0926961664342965,-1.08582254532741,-0.0845622408771268,-0.00695895908107257,-0.787631317004034,NA,-0.15644547333119,NA,NA,NA,-0.659007178229482,NA,NA,NA,NA,-0.123020783093433,-0.0659465344499706,-0.156414893666881,NA,-0.996903329490727,-0.0906534070519047,-0.613774651902105,NA,NA
"MaxInitMvmntRto:age",-0.0472357648516189,NA,NA,NA,-0.0341820832677255,NA,-0.0249728400523654,NA,NA,-0.0417397715341347,NA,NA,-0.0187976577800997,-0.0300324755613103,-0.0279411720580697,NA,-0.0554755394999618,NA,NA,NA,NA,-0.0306109490675461,-0.0144330222672564,-0.0379474089473067,NA,NA,-0.0485236669112035,NA,-0.015350248979993,-0.0434078767981745,-0.0786868238911057,-0.010028429284115,NA,-0.0279411720580697,-0.0711062941519612,-0.0548562326963406,-0.036283359750529,NA,-0.0427844378341501,-0.0376311560006171,NA,NA,NA,NA,NA,-0.0420070267782184,-0.0314001863801622,NA,-0.0314001863801622,NA,-0.0413793059459319,-0.0388621786694004,-0.0425152859277244,NA,NA,-0.040068557940038,-0.0111508772082863,NA,NA,-0.0482421940312556,NA,-0.0409453008819407,-0.040658326421271,-0.010285296364787,NA,-0.0527178921941924,-0.0366941936891803,NA,NA,-0.00370048571745631,-0.0198370001362849,-0.0537884639379873,-0.0355903529972737,NA,NA,NA,-0.00370048571745631,-0.0710596301268925,-0.040658326421271,NA,-0.0769271271968395,NA,-0.0249728400523654,NA,NA,NA,-0.0543478443025588,-0.00335926520039889,NA,NA,NA,-0.0111508772082863,-0.000472676343509204,-0.0363799439456623,NA,-0.0802162871898404,-0.0475415597804393,-0.0485714607744921,NA,-0.00624825479136926
"VarTrialTime:VarPMTD",-29.0022697665564,NA,NA,NA,-15.762013051144,NA,-12.818457378314,NA,NA,-19.3376445218344,NA,NA,-10.7684147128039,-14.3248716548878,-13.7291082067729,NA,-32.1064509398139,NA,-2.31417530755299,NA,NA,-14.6097330611851,-9.35032201978883,-18.3983447801746,NA,NA,-23.0882056105282,NA,-9.63874172299569,-19.049886131613,-34.2248349144716,NA,NA,-13.7291082067729,-33.1940131010841,-26.5236689192584,-17.1120852496424,NA,-18.7811556854172,-18.3354997905236,NA,NA,NA,NA,NA,-19.2522951337131,-14.9010919206674,NA,-14.9010919206674,NA,-19.4594632315523,-18.6003943789338,-18.8938093442242,NA,-2.31417530755299,-18.8612989275401,-8.23155839335897,NA,NA,-22.8414499347625,NA,-19.1908416117351,-18.978332200193,-7.94564326819521,NA,-27.41514655102,-17.9637859490267,NA,NA,-5.40355339354448,-11.097642121509,-31.8214226661023,-16.2770304259926,NA,NA,NA,-5.40355339354448,-33.2085424687609,-18.978332200193,NA,-34.7363616799626,NA,-12.818457378314,NA,NA,NA,-31.9179210462576,NA,NA,NA,NA,-8.23155839335897,-3.66276813997833,-17.5128267178388,NA,-32.2059485428253,-22.2251131325839,-30.7926213081983,NA,NA
"MaxMaxSpd:MaxInitMvmntRto",NA,NA,-6.36999570902082,-6.37994932811257,-0.200028531146641,-4.48346723151092,-1.49773521940562,-5.73226510685275,NA,NA,-6.38351704631975,-6.14080841864581,-2.33419663123057,-0.825765091885972,-1.09987878437392,-6.37725448551001,NA,-6.21075626731635,-5.94814290087944,-6.18753557411662,NA,-0.738359964688787,-3.06747260611189,NA,-6.34792396557415,-6.30261680099112,NA,-4.08371987454014,-2.91113493174817,NA,NA,NA,-6.38066187887461,-1.09987878437392,NA,NA,NA,NA,NA,NA,-6.21075626731635,-6.34792396557415,-6.37622957451207,-3.96809818366932,-6.38529521643378,NA,-0.614085438087024,-6.3775992220384,-0.614085438087024,NA,NA,NA,NA,-6.02393118927855,-5.94814290087944,NA,-3.64853787687786,NA,-3.90801655195772,NA,-6.34792396557415,NA,NA,-3.79928490581934,-6.38305004201003,NA,NA,-6.09376436772149,-6.38529521643378,-5.02765640578008,-2.18279594899167,NA,NA,NA,NA,-6.1173182681941,-5.02765640578008,NA,NA,-6.3575172124293,NA,NA,-1.49773521940562,-6.30261680099112,-3.78322840842849,-2.62331070681901,NA,NA,-4.55921977056156,NA,NA,-3.64853787687786,-5.67066789313323,NA,-3.09791293088796,NA,NA,NA,NA,NA
"VarSpdRto:initBB",0.358954939803114,NA,NA,NA,0.140023863853091,NA,0.106223824832219,NA,NA,0.15604231322926,NA,NA,0.0762907663832978,0.128186396935481,0.119589166046209,NA,0.424903217397608,NA,NA,NA,NA,0.129714413161898,0.0590537632047668,0.151774270205538,NA,NA,0.196409077271023,NA,0.0624174522615867,0.158019570230857,0.454190290043356,NA,NA,0.119589166046209,0.240653552091116,0.271306695659388,0.148895828943769,NA,0.155680987337946,0.151491086258366,NA,NA,NA,NA,NA,0.155827280139994,0.132024820473498,NA,0.132024820473498,NA,0.156831742735051,0.152737857549754,0.155649421924082,NA,NA,0.153949082322244,0.0458629250011658,NA,NA,0.194025024762055,NA,0.155957036482406,0.154425072022894,0.0425097308982749,NA,0.300815262953226,0.150260188318626,NA,NA,0.0105936651439486,0.0811170692119906,0.418539545352853,0.144933706544644,NA,NA,NA,0.0105936651439486,0.23909106803528,0.154425072022894,NA,0.465276888514032,NA,0.106223824832219,NA,NA,NA,0.42067301132726,NA,NA,NA,NA,0.0458629250011658,NA,0.15012306961016,NA,0.407018829205685,0.188124066237126,0.396922927436918,NA,NA
"initWO:initBB",0.00413016184631272,NA,NA,NA,0.00174300866487164,NA,0.00121582343072415,NA,NA,0.00327229125836221,NA,NA,0.000929769527949386,0.0014669312293279,0.00136365276425981,NA,0.00422903888679504,NA,NA,NA,NA,0.00152025766563458,0.000627653742942279,0.00251202168686461,NA,NA,0.00402956835297168,NA,0.000691381083619057,0.00358418416013882,0.00508948850474883,NA,NA,0.00136365276425981,0.00461577401242792,0.00399225014765056,0.00204252761031213,NA,0.00351931856414444,0.00246145086976943,NA,NA,NA,NA,NA,0.00330641520206976,0.0015769269045017,NA,0.0015769269045017,NA,0.00323121031461059,0.00266183408809299,0.00346432562653463,NA,NA,0.00285791673109408,0.00037870190351565,NA,NA,0.00400797009962151,NA,0.00303950589407313,0.00295239943269516,0.000315182805596067,NA,0.00402237423212392,0.00227690407302526,NA,NA,NA,0.000980032934402682,0.00422668108154479,0.00184640017321276,NA,NA,NA,NA,0.00461085321822625,0.00295239943269516,NA,0.00494064036972201,NA,0.00121582343072415,NA,NA,NA,0.00422734250512076,NA,NA,NA,NA,0.00037870190351565,NA,0.00213783343019401,NA,0.00504474773278798,0.00395028198244088,0.00422750376625125,NA,NA
"MaxInitDirErr:VarSpdRto",NA,NA,1.8437987798006,1.05776022957991,NA,0.678991455507851,0.575584976925108,1.81177879171952,NA,NA,1.35609840185354,1.97475921137449,0.88577012940536,NA,0.279009513704404,1.75525837486272,NA,1.9465739792339,0.476097338315658,1.95603026227665,NA,NA,0.850880765963348,NA,1.89014766557509,1.90883051009009,NA,0.370237608669897,0.862474709408374,NA,NA,NA,1.41513246643194,0.279009513704404,NA,NA,NA,NA,NA,NA,1.9465739792339,1.89014766557509,1.47138127836589,0.267150700082562,1.00060215433374,NA,NA,1.26527341930697,NA,NA,NA,NA,NA,2.0133218185914,0.476097338315658,NA,0.806219752970634,NA,0.210436564739833,NA,1.89014766557509,NA,NA,0.793021972996309,1.20780485216831,NA,NA,1.99266406260491,1.00060215433374,0.644678065802343,0.857856275495669,NA,NA,NA,NA,1.98388338076645,0.644678065802343,NA,NA,0.871958669253369,NA,NA,0.575584976925108,1.90883051009009,0.0821387863316646,NA,NA,NA,0.745272660337324,NA,NA,0.806219752970634,0.508134953201039,NA,NA,NA,NA,NA,NA,NA
"MeanInitDirErr:VarSpdRto",7.00806407536004,NA,NA,NA,3.18582000677636,NA,1.95580137277062,NA,NA,5.51532217477079,NA,NA,0.188145591335665,3.05554535747005,2.63992364419514,NA,7.30614054545136,NA,NA,NA,NA,3.08034608995122,NA,4.38567289917694,NA,NA,8.38171140334281,NA,NA,5.35341397154543,4.90951991748152,NA,NA,2.63992364419514,10.6911711178866,7.38161978431578,3.46111029267261,NA,5.27018005786427,4.29284787810081,NA,NA,NA,NA,NA,5.48382291490985,3.10117873253484,NA,3.10117873253484,NA,5.53752326813181,4.65995765887113,5.31024768106315,NA,NA,5.02351770383551,NA,NA,NA,8.17995560754319,NA,5.33143512464511,5.20952651754207,NA,NA,7.18848122722629,3.83650803629049,NA,NA,NA,0.454401720650626,7.27722458085044,3.26340389919913,NA,NA,NA,NA,10.7030405946717,5.20952651754207,NA,5.16287292651911,NA,1.95580137277062,NA,NA,NA,7.28768232996222,NA,NA,NA,NA,NA,NA,3.58242244768194,NA,9.096504745068,7.68484023817343,7.1801859108122,NA,NA
"MaxInitMvmntRto:monthspost",NA,NA,NA,NA,-0.00368643012604548,NA,-0.00303567498234171,NA,NA,NA,NA,NA,-0.00255755237498874,-0.00336010511335234,-0.00323170081429579,NA,NA,NA,-0.000100160740672915,NA,NA,-0.00342100117241341,-0.00207612950167648,-0.00245919471893052,NA,NA,NA,NA,-0.00217836141828624,NA,NA,NA,NA,-0.00323170081429579,NA,NA,-0.00399470594753469,NA,NA,-0.00271392594880606,NA,NA,NA,NA,NA,NA,-0.00349218951916124,NA,-0.00349218951916124,NA,NA,-0.00172489939205857,NA,NA,-0.000100160740672915,-0.000752370578135373,-0.00168328690931777,NA,NA,NA,NA,NA,-0.000226793493790303,-0.00158261223766299,NA,NA,-0.00362603402433115,NA,NA,-0.000846398869346684,-0.00264917358760204,NA,-0.00380252439320753,NA,NA,NA,-0.000846398869346684,NA,-0.000226793493790303,NA,NA,NA,-0.00303567498234171,NA,NA,NA,NA,NA,NA,NA,NA,-0.00168328690931777,-0.000436299377142545,-0.00395957494358837,NA,NA,NA,NA,NA,NA
"VarSpdRto:mass",NA,NA,0.000840973874683949,0.0092351931728366,NA,NA,0.000621723543196583,NA,NA,NA,0.00624470781218654,NA,0.00562320249210921,NA,NA,0.00203872409692361,NA,NA,0.0151742133489493,NA,NA,NA,0.00826036843010507,NA,9.12630831793259e-06,NA,NA,NA,0.00771337979362013,NA,NA,NA,0.0056032535431923,NA,NA,NA,NA,NA,NA,NA,NA,9.12630831793259e-06,0.00501544893533922,NA,0.00981365802516231,NA,NA,0.00713363126682331,NA,NA,NA,NA,NA,NA,0.0151742133489493,NA,0.0100637889672421,NA,NA,NA,9.12630831793259e-06,NA,NA,0.0105531726130159,0.00771816350737137,NA,NA,NA,0.00981365802516231,0.0141981018444455,0.00479335299880587,NA,NA,NA,NA,NA,0.0141981018444455,NA,NA,0.0107280843298145,NA,NA,0.000621723543196583,NA,NA,NA,NA,NA,NA,NA,NA,0.0100637889672421,0.0153345230190583,NA,NA,NA,NA,NA,NA,NA
